Handle,Title,Vendor,Type,Variant SKU,Image Src
embroidery-machine-1,Embroidery Machine,Tempe,Arts,AZ-008-022-030-066-043,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-10-01_at_1.52.06_PM.png?v=1443727951
thread-set-of-24-spools,"Thread, Set of 24 Spools",Tempe,Arts,AZ-008-022-030-066-574,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-10-01_at_1.51.18_PM.png?v=1443727829
bobbins-1,Bobbins,Tempe,Arts,AZ-008-022-030-066-927,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-10-01_at_1.51.05_PM.png?v=1443727726
quilting-ruler,Quilting Ruler,Tempe,Arts,AZ-008-022-030-066-954,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-10-01_at_1.50.16_PM.png?v=1443727605
sewing-machine,Sewing Machine,Tempe,Arts,AZ-008-022-030-066-228,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-10-01_at_1.49.48_PM.png?v=1443727461
camp-sponsorship,Camp Sponsorship,Sandra Day O'Connor High,Activities,AZ-008-005-067-145-750,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-10-01_at_1.33.44_PM.png?v=1443724480
t-shirts-10,T-Shirts,Central High,Activities,AZ-008-018-006-096-113,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-10-01_at_12.19.13_PM.png?v=1443720013
boys-team-shirts,Boys Team Shirts,Casa Grande Union High,Academics,AZ-012-015-065-041-880,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-09-29_at_4.08.53_PM.png?v=1443561568
girls-team-shirts,Girls Team Shirts,Casa Grande Union High,Academics,AZ-012-015-065-041-113,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-09-29_at_4.08.25_PM.png?v=1443561522
regional-conference-registration-sponsorship,Regional Conference Registration Sponsorship,Central High,Academics,AZ-008-018-006-025-751,https://cdn.shopify.com/s/files/1/0185/5504/products/fbla_logo_n_shield_5b5fd4be-b6b1-424a-b305-fb5da87083da.png?v=1443551408
cnc-router,CNC Router,Red Mountain High,Academics,AZ-008-014-026-041-953,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-09-29_at_11.06.13_AM.png?v=1443543269
cnc-mill,CNC Mill,Red Mountain High,Academics,AZ-008-014-026-041-920,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-09-29_at_11.05.17_AM.png?v=1443543163
camera-case-1,Camera Case,South,Activities,AZ-008-018-015-063-858,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-09-29_at_9.51.23_AM.png?v=1443540297
notepads-pack-of-4,"Notepads, Pack of 4",South,Activities,AZ-008-018-015-063-192,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-09-29_at_9.50.51_AM.png?v=1443540134
markers-1,Markers,South,Activities,AZ-008-018-015-063-607,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-09-29_at_9.50.10_AM.png?v=1443539884
helium-tank-2,Helium Tank,South,Activities,AZ-008-018-015-063-327,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-09-29_at_9.49.43_AM.png?v=1443539680
tape,Tape,South,Activities,AZ-008-018-015-063-671,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-09-29_at_9.49.27_AM.png?v=1443539564
paper-roll-1,Paper Roll,South,Activities,AZ-008-018-015-063-466,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-09-29_at_9.48.49_AM.png?v=1443539441
paint-set-of-14,"Paint, Set of 12",South,Activities,AZ-008-018-015-063-379,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-09-29_at_9.48.22_AM.png?v=1443539371
racquet,Racquet,Marcos de Niza High,Athletics,AZ-008-022-064-072-518,https://cdn.shopify.com/s/files/1/0185/5504/products/Screen_Shot_2015-09-28_at_4.21.49_PM.png?v=1443475947
